id_estacio,nom_districte,lat,lon,slots_mesurats,capacitat_mitja,pct_buida,pct_plena,pct_problema
103,Sant Martí,41.410098,2.1884487,64097,19.1,18.29,2.92,21.33
519,Horta-Guinardó,41.4246548,2.166289,63910,23.1,20.96,0.17,21.2
195,Les Corts,41.3821371,2.1354149,63510,25.7,20.83,0.17,21.0
429,Les Corts,41.3881262,2.1091535,64070,26.2,19.4,1.58,20.98
62,Eixample,41.387235,2.168819,63802,23.1,15.37,5.55,20.93
25,Eixample,41.3954041,2.1681961,63538,19.3,19.19,1.7,20.91
482,Horta-Guinardó,41.4372022,2.1620235,63250,21.9,20.5,0.37,20.88
40,Ciutat Vella,41.382335,2.187093,64093,16.3,3.38,17.44,20.85
87,Eixample,41.3832398303536,2.14791630141962,60032,23.4,19.49,1.35,20.85
538,Sants-Montjuïc,41.3663147,2.1522059,22744,22.7,20.63,0.13,20.83
567,Sant Martí,41.39816,2.20085,6291,21.2,3.31,16.34,20.81
290,Nou Barris,41.4373376,2.1740962,64107,15.7,20.18,0.46,20.64
378,Ciutat Vella,41.3785379,2.1767427,64107,19.4,0.47,20.11,20.58
18,Eixample,41.4060589,2.1740472,64157,25.0,17.84,2.66,20.5
165,Sant Martí,41.3992169,2.2041415,63953,23.8,1.32,19.08,20.41
54,Ciutat Vella,41.3775319,2.1707321,64144,17.2,3.03,17.35,20.4
76,Eixample,41.3917666,2.1532163,64109,30.4,19.72,0.69,20.4
306,Les Corts,41.3853868,2.122893,64033,29.9,18.61,1.47,20.08
79,Eixample,41.385503,2.1634768,63575,21.2,16.89,3.17,20.07
394,Eixample,41.3873057,2.1631263,63825,24.8,16.69,3.24,19.94
83,Eixample,41.3821658,2.1520645,63965,20.9,14.5,5.4,19.91
386,Eixample,41.3751866,2.1568773,63987,16.2,11.14,8.71,19.88
456,Sant Martí,41.4143392,2.1874539,64147,18.4,12.83,7.0,19.83
177,Sant Martí,41.4110754,2.1809764,64054,33.4,16.31,3.46,19.77
55,Ciutat Vella,41.380195,2.1744801,47200,17.9,2.75,16.86,19.74
42,Sant Martí,41.4044068884896,2.18991788037394,63991,20.8,9.88,9.67,19.59
469,Nou Barris,41.4417001,2.1781553,63892,14.4,16.86,2.58,19.5
514,Sant Martí,41.4095069,2.1885055,64152,16.3,15.21,4.19,19.42
365,Eixample,41.3875712,2.1469336,63977,28.7,18.98,0.43,19.41
279,Horta-Guinardó,41.4158995,2.1745567,62626,24.4,17.86,1.29,19.39
468,Nou Barris,41.4480464,2.1775154,64113,17.4,19.07,0.03,19.35
477,Horta-Guinardó,41.4260751,2.1722534,64160,24.9,19.26,0.08,19.35
467,Nou Barris,41.4450463,2.176726,64118,19.5,19.27,0.05,19.32
192,Sants-Montjuïc,41.3786364,2.1335494,63891,19.3,14.68,4.57,19.25
490,Horta-Guinardó,41.4280668,2.1443777,64053,48.9,18.98,0.2,19.19
315,Sant Martí,41.4156285,2.1817876,64108,24.9,16.14,2.91,19.06
164,Sant Martí,41.4118378,2.1778852,63507,24.8,13.78,5.11,18.9
370,Eixample,41.4039698,2.1729061,64036,29.5,16.79,1.9,18.76
479,Nou Barris,41.430623,2.1671068,64114,16.9,18.19,0.52,18.71
368,Eixample,41.3968391,2.1756598,64149,25.4,18.38,0.27,18.64
114,Ciutat Vella,41.376735,2.1740082,63594,18.4,1.42,17.06,18.51
489,Horta-Guinardó,41.4312335,2.1499103,64138,26.7,18.36,0.04,18.4
283,Horta-Guinardó,41.4297231,2.1617032,64163,18.9,18.05,0.32,18.37
392,Sant Martí,41.3905303,2.1906339,63815,17.9,3.32,14.91,18.27
301,Nou Barris,41.4366871,2.1693134,64157,26.7,18.18,0.0,18.18
364,Eixample,41.393062,2.1633226,63566,30.4,10.61,7.52,18.17
185,Sants-Montjuïc,41.3703717,2.1389439,63995,15.3,5.58,12.49,18.14
291,Nou Barris,41.426078,2.1751572,63823,25.7,18.1,0.01,18.11
117,Sant Martí,41.3906051,2.1972309,64029,19.6,2.86,15.12,18.07
300,Nou Barris,41.4315843,2.1769107,64166,17.1,17.31,0.63,17.94
105,Eixample,41.389492,2.17425,63979,18.7,12.22,5.65,17.94
438,Eixample,41.3981669,2.1754896,63554,24.9,15.84,2.06,17.9
187,Ciutat Vella,41.3768806,2.1698206,64078,17.7,5.21,12.62,17.9
314,Sants-Montjuïc,41.3783067,2.1297303,63659,22.5,16.32,1.25,17.87
188,Sants-Montjuïc,41.3756948,2.1358571,64014,24.5,13.63,4.18,17.81
193,Les Corts,41.3812979,2.1289917,64094,25.2,17.27,0.32,17.78
470,Nou Barris,41.4432762,2.1746238,63843,23.3,17.71,0.04,17.76
235,Eixample,41.3751767,2.1658972,64035,22.3,5.83,11.66,17.5
33,Ciutat Vella,41.37686,2.19067,63726,19.4,2.73,14.72,17.47
412,Eixample,41.3893094,2.1727457,64134,25.2,12.95,4.51,17.45
115,Ciutat Vella,41.383597,2.184171,63262,19.4,3.12,14.25,17.42
384,Eixample,41.3807072,2.1468381,64072,23.8,16.34,0.87,17.22
421,Sants-Montjuïc,41.378118,2.1378667,63997,22.8,14.86,2.2,17.11
441,Sants-Montjuïc,41.3754426,2.1398409,63801,16.6,11.86,4.87,16.73
475,Sant Andreu,41.4216738,2.1799878,64162,17.6,15.4,1.32,16.72
